id,label,subject,sa_score,sa_is_spam,sa_prediction,fired_rules,error
nazario_phishing-2020_60,phishing,Netflix Alert:Please Confirm Your [Netflix] Profile.,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_61,phishing,jose@monkey.org Messages could not be delivered.,1.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,URI_WPADMIN",
nazario_phishing-2020_62,phishing,Blocked Incoming Messages﻿,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_44,phishing,We are closing all old versions of monkey.org,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_53,phishing,[PossibleSpam] Nedbank Current Account Statement - 20200409 - 2082,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_63,phishing,"✉MAIL-ALERT TO VERIFY YOUR ACCOUNT "" jose@monkey.org""",6.5,1,phishing,"NO_RECEIVED,NO_RELAYS,URI_WP_HACKED_2,URI_PHISH",
nazario_phishing-2020_68,phishing,Purchase order RFQ-HL51L05.,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_65,phishing,Access Lock,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_70,phishing,monkey.org update,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_71,phishing,monkey.org update,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_73,phishing,EMAIL BLOCK TERMS: Closing of your account is been processed MT,7.3,1,phishing,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,URI_WP_HACKED_2,URI_PHISH",
nazario_phishing-2020_69,phishing,Your files were sent successfully to jose@monkey.org,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_75,phishing,Alert: ⚑ Mailbox password reset in progress for jose@monkey.org,2.5,0,legitimate,"NO_RECEIVED,NO_RELAYS,URI_WP_HACKED_2",
nazario_phishing-2020_77,phishing,Account Verification Needed!,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_76,phishing,Very important notice,4.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,URI_PHISH",
nazario_phishing-2020_78,phishing,Your Netflix Membership is on hold,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_80,phishing,RE: It-Support: Novo 2020 Microsoft Outlook,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_81,phishing,Account Blocked jose@monkey.org 6/23/2020 5:36:32 a.m.,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_85,phishing,MXHSUHSSX EMAIL VALIDATION REPORT AT 6/28/2020,0.5,0,legitimate,"NO_RECEIVED,SUBJ_ALL_CAPS,NO_RELAYS",
nazario_phishing-2020_83,phishing,SSA Alert:Update your information.,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_89,phishing,DHL SHIPPING NOTICE !!,0.5,0,legitimate,"NO_RECEIVED,SUBJ_ALL_CAPS,NO_RELAYS",
nazario_phishing-2020_88,phishing,ap-cncpurchase@ghf.com sent you files Via WeFile Shraing.,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_79,phishing,Email Queue - New Message (undelivered messages),-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_92,phishing,jose@monkey.org Incoming mail Delayed,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_96,phishing,Kindly Confirm Your Password Now,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_64,phishing,monkey.org Server Account Notification!!,3.2,0,legitimate,"NO_RECEIVED,NO_RELAYS,TVD_PH_SEC,MXG_EMAIL_FRAG,GOOG_STO_NOIMG_HTML",
nazario_phishing-2020_93,phishing,jose You have 3 pending messages!,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_99,phishing,RE: Aviso importante do IT-Helpdesk To All PT Email users,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_94,phishing,Suspension Notice- ACTION REQUIRED!,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_103,phishing,Security Concerns!,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_100,phishing,Re: New Order Inquiry,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_104,phishing,jose@monkey.org have (7) failed email deliveries.,1.5,0,legitimate,"NO_RECEIVED,NO_RELAYS,DEAR_EMAIL",
nazario_phishing-2020_105,phishing,Thirteen (13) Incoming pending mails undeliverd!!!,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_107,phishing,Upgrade Your Mailbox Quota,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_108,phishing,Order Shipping Confirmation #991-4958216-1093584,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,LOTS_OF_MONEY",
nazario_phishing-2020_112,phishing,Quarantine Summary: 15 message(s) quarantined,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_111,phishing,"Maryden Cruz sent you ""PO-095070.pdf""",-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_109,phishing,Review Account Activity,2.5,0,legitimate,"NO_RECEIVED,NO_RELAYS,TVD_PH_BODY_ACCOUNTS_PRE,URI_WP_HACKED_2",
nazario_phishing-2020_114,phishing,fix mailbox now! jose@monkey.org,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_118,phishing,jose: You Received Messages/files via WeTransfer To -jose@monkey.org,6.1,1,phishing,"NO_RECEIVED,NO_RELAYS,MXG_EMAIL_FRAG,GOOG_STO_EMAIL_PHISH,GOOG_STO_NOIMG_HTML",
nazario_phishing-2020_116,phishing,Wir haben ungewöhnliche Aktivitäten festgestellt!,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_119,phishing,⚠️ ACTION REQUIRED [ jose@monkey.org ],0.1,0,legitimate,"NO_RECEIVED,NO_RELAYS,MXG_EMAIL_FRAG",
nazario_phishing-2020_121,phishing,jose@monkey.org Incoming Mail Delayed,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_120,phishing,Notification: jose@monkey.org,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_122,phishing,Notamos alguma atividade incomum!,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_128,phishing,Last Warning your response is Needed??,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,LOTS_OF_MONEY,T_FILL_THIS_FORM_SHORT,MONEY_FORM_SHORT",
nazario_phishing-2020_129,phishing,Verification for deliverability on jose@monkey.org,6.1,1,phishing,"NO_RECEIVED,NO_RELAYS,MXG_EMAIL_FRAG,GOOG_STO_EMAIL_PHISH,GOOG_STO_NOIMG_HTML",
nazario_phishing-2020_127,phishing,Mailbox jose@monkey.org Security Scan 9/16/2020 10:06:34 a.m.,4.6,0,legitimate,"NO_RECEIVED,NO_RELAYS,DEAR_EMAIL,MXG_EMAIL_FRAG,GOOG_STO_NOIMG_HTML",
nazario_phishing-2020_110,phishing,jose@monkey.org Receive Delayed Messages On Your Server:monkey.org,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_125,phishing,We attempted to deliver your package,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_131,phishing,Email Account Validation,2.3,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,DEAR_EMAIL",
nazario_phishing-2020_130,phishing,电子邮件的高风险,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_132,phishing,Suspension Notice,10.0,1,phishing,"NO_RECEIVED,NO_RELAYS,DEAR_EMAIL,MXG_EMAIL_FRAG,GOOG_STO_EMAIL_PHISH,GOOG_STO_NOIMG_HTML,GOOG_STO_HTML_PHISH",
nazario_phishing-2020_136,phishing,high risk,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_133,phishing,docu,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_137,phishing,4 New Messages :: 11/2/2020 8:53:45 a.m. Notifications,3.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,URI_FIREBASEAPP",
nazario_phishing-2020_139,phishing,Re: Wire Transfer Comfirmation(07-11-2020.xlsx,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_138,phishing,You Have Just Receive OneDrive Files.,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_140,phishing,jose@monkey.org Sync Issues,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_141,phishing,Wells Fargo: Important Information About Your Online!,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_143,phishing,Your Order of MacBook Air with Order ID# 1811-2247-2685412214 ...,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_147,phishing,Confirm jose@monkey.org Account Ownership,4.5,0,legitimate,"NO_RECEIVED,NO_RELAYS,DEAR_EMAIL,GOOG_STO_NOIMG_HTML",
nazario_phishing-2020_145,phishing,Dear Customer,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_146,phishing,SBSA IT3(b) Certificate Updated,0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,T_FILL_THIS_FORM_SHORT",
nazario_phishing-2020_148,phishing,DHL Express Shipments: New Parcel Received.,3.3,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,URI_WP_HACKED_2",
nazario_phishing-2020_151,phishing,You Have (02) Mail Waiting To Be Received,9.3,1,phishing,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,MXG_EMAIL_FRAG,GOOG_STO_EMAIL_PHISH,GOOG_STO_NOIMG_HTML,GOOG_STO_HTML_PHISH",
nazario_phishing-2020_153,phishing,Account suspension notice 12/09/2020 03:36:33 am,2.6,0,legitimate,"NO_RECEIVED,NO_RELAYS,TRACKER_ID,TO_NO_BRKTS_PCNT",
nazario_phishing-2020_152,phishing,[Email notification]:Incoming Massage Blocked,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_155,phishing,Reminder: Notice for monkey.org,2.5,0,legitimate,"NO_RECEIVED,NO_RELAYS,URI_WP_HACKED_2",
nazario_phishing-2021_2,phishing,Please DocuSign: Offer20201116-0740974_jose.pdf,3.9,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,MXG_EMAIL_FRAG,GOOG_STO_NOIMG_HTML",
nazario_phishing-2021_7,phishing,Envio de Burofax Online - ultima advertencia - [ id 77106725 ],4.5,0,legitimate,"NO_RECEIVED,NO_RELAYS,PHISH_AZURE_CLOUDAPP,URI_AZURE_CLOUDAPP",
nazario_phishing-2020_157,phishing,Your payment method has been rejected.,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_8,phishing,Multa no pagada - bloque de vehiculos - [ id 990013050 ],5.3,1,phishing,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,PHISH_AZURE_CLOUDAPP,URI_AZURE_CLOUDAPP",
nazario_phishing-2021_3,phishing,New Recording [13913670],3.1,0,legitimate,"NO_RECEIVED,NO_RELAYS,MXG_EMAIL_FRAG,URI_FIREBASEAPP",
nazario_phishing-2021_6,phishing,Service Suspension Notification.,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_9,phishing,Your Wells Fargo® monthly statement is available.,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2021_11,phishing,Multa no pagada - bloque de vehiculos - [ id 628273011 ],4.5,0,legitimate,"NO_RECEIVED,NO_RELAYS,PHISH_AZURE_CLOUDAPP,URI_AZURE_CLOUDAPP",
nazario_phishing-2021_12,phishing,Standard Bank Account eStatement 2021-02-11,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_13,phishing,Notification - MailBox has (3) Pending emails,3.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,URI_FIREBASEAPP",
nazario_phishing-2021_10,phishing,Unusual sign-in-activity 2/4/2021 1:36:45 a.m. (EDT).,3.9,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,MXG_EMAIL_FRAG,GOOG_STO_NOIMG_HTML",
nazario_phishing-2021_15,phishing,Email Service Upgrade,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_14,phishing,Notification - MailBox has (3) Pending emails,3.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,URI_FIREBASEAPP",
nazario_phishing-2021_16,phishing,Password for jose@monkey.org  expires today 28/02/2021,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_19,phishing,Standard Bank Account eStatement 2021-03-10,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_18,phishing,Your package is waiting for delivery,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2021_22,phishing,: You have A New Mail From e*trade.,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_21,phishing,Your Email Account (jose@monkey.org) password is set to expire in 3 days,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2021_24,phishing,Your E-mail Requestjose@monkey.org,0.1,0,legitimate,"NO_RECEIVED,NO_RELAYS,MXG_EMAIL_FRAG",
nazario_phishing-2021_23,phishing,jose@monkey.org have stopped processing incoming emails.,4.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,URI_PHISH",
nazario_phishing-2021_25,phishing,Bloqueo del Vehiculo - Multa no pagada,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2021_27,phishing,:You Have A New Message From E*TRADE!,0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,T_SHORT_SHORTNER",
nazario_phishing-2021_29,phishing,Please visit our security center immediately.,0.1,0,legitimate,"NO_RECEIVED,NO_RELAYS,TVD_PH_SEC",
nazario_phishing-2021_17,phishing,Nedbank Credit Card monthly Charges eStatement,3.2,0,legitimate,"NO_RECEIVED,NO_RELAYS,POSTCARD_09",
nazario_phishing-2021_28,phishing,Your account is currently under review.,0.1,0,legitimate,"NO_RECEIVED,NO_RELAYS,TVD_PH_SEC",
nazario_phishing-2021_31,phishing,Important Monetary Online Document.,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,T_SHORT_SHORTNER",
nazario_phishing-2021_32,phishing,jose@monkey.org.....,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_34,phishing,Indeed account update for jose@monkey.org,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2021_35,phishing,Account update,0.9,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,MXG_EMAIL_FRAG",
nazario_phishing-2021_36,phishing,Account Verification Required for jose@monkey.org,0.1,0,legitimate,"NO_RECEIVED,NO_RELAYS,TVD_PH_SEC,TVD_SPACE_RATIO",
nazario_phishing-2021_37,phishing,Validation Error For: jose@monkey.org Webmail (Mailbox) Re-validation Required,3.9,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,MXG_EMAIL_FRAG,URI_FIREBASEAPP",
nazario_phishing-2021_38,phishing,Account Verification Required for jose@monkey.org,0.1,0,legitimate,"NO_RECEIVED,NO_RELAYS,TVD_PH_SEC,TVD_SPACE_RATIO",
nazario_phishing-2021_40,phishing,Confirmation,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_39,phishing,Inactive users jose@monkey.org,4.1,0,legitimate,"NO_RECEIVED,NO_RELAYS,MXG_EMAIL_FRAG,URI_PHISH",
nazario_phishing-2021_42,phishing,You have Seven (7) Messages Pending Delivery 0n Your mailbox due to low storage.,0.2,0,legitimate,"NO_RECEIVED,NO_RELAYS,URI_HEX,MXG_EMAIL_FRAG,LOTS_OF_MONEY",
nazario_phishing-2021_45,phishing,Completed: Please DocuSign Statement.pdf (jose@monkey.org),-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_44,phishing,Email Account Closure,4.1,0,legitimate,"NO_RECEIVED,NO_RELAYS,MXG_EMAIL_FRAG,URI_PHISH",
nazario_phishing-2021_43,phishing,Notifcation: You have (9) new undelivered messages,0.1,0,legitimate,"NO_RECEIVED,NO_RELAYS,MXG_EMAIL_FRAG",
nazario_phishing-2021_48,phishing,Standard Bank Account eStatement 2021-06-25,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_46,phishing,Informed Delivery : we need to pay cost,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_47,phishing,Security Upgrade required for your mailbox jose@monkey.org,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2021_49,phishing,(9) messages are pending for jose@monkey.org,3.9,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,MXG_EMAIL_FRAG,GOOG_STO_NOIMG_HTML",
nazario_phishing-2021_50,phishing,jose@monkey.org Update Server,3.1,0,legitimate,"NO_RECEIVED,NO_RELAYS,MXG_EMAIL_FRAG,GOOG_STO_NOIMG_HTML",
nazario_phishing-2021_52,phishing,Account Update Notice,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_53,phishing,Check Your Mail,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_55,phishing,jose@monkey.org You have Six{6} pending mails,0.2,0,legitimate,"NO_RECEIVED,NO_RELAYS,URI_HEX,MXG_EMAIL_FRAG",
nazario_phishing-2021_54,phishing,Important Update About Your Netflix Subscription.,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2021_58,phishing,Account jose@monkey.org Email Quata Limit,3.3,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,URI_WP_HACKED_2",
nazario_phishing-2021_57,phishing,"We have issues with your shipping address to re-deliver your package
please confirm your address and pay the shipping cost 3,00",-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_59,phishing,"( jose@monkey.org ) - You have received 3 pdf files via WeTransfer
from (info@aevumglobal.es)",-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_63,phishing,Payment-Confirmation; Invoice-No# 430078 387.51 USD,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,LOTS_OF_MONEY",
nazario_phishing-2021_60,phishing,You Have Recieved New Files,3.9,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,MXG_EMAIL_FRAG,URI_FIREBASEAPP",
nazario_phishing-2021_64,phishing,Your E-mail Rectification Request For jose@monkey.org,0.1,0,legitimate,"NO_RECEIVED,NO_RELAYS,MXG_EMAIL_FRAG",
nazario_phishing-2021_62,phishing,Approve sign in request,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2021_66,phishing,Renewal description,2.5,0,legitimate,"NO_RECEIVED,NO_RELAYS,TO_NO_BRKTS_PCNT",
