id,source,subject,text,label,split
enron_ward-k_sent_items_92.,enron,FW: GISB,"let me know status
-----Original Message-----
From: batoomey@srpnet.com@ENRON [mailto:IMCEANOTES-batoomey+40srpnet+2Ecom+40ENRON@ENRON.com]
Sent: Tuesday, June 05, 2001 10:09 AM
To: Ward, Kim S.
Subject: GISB

Kim,
The GISB between SRP and EPMI is attached below with SRP's information.
Please fill in the information for EPMI. If you have any questions please
call Jim Trangsrud at 602-236-4525 or jvtrangs@srpnet.com, thank you!
< >

Barbara Toomey
Price Risk Management
ISB252 x4582
batoomey@srpnet.com

- ENRONGISB.doc",legitimate,train
spamassassin_easy_ham_01218.9ccb65e5b538133faf5c90bf7b3f8374,spamassassin,Re: alsa-driver.spec tweak for homemade kernels,"Once upon a time, Ben wrote :

> I use a mostly Red Hat 8.0 system, but prefer to configure and build my
> kernel by hand. I'd like to humbly offer a tweak to alsa-driver.spec
> that helps it build cleanly under such circumstances. I recognize that
> freshrpms.net packages are designed with standard Red Hat in mind,
> including a standard kernel RPM. However, I hope that Matthias will
> consider the tweak small enough to justify its incorporation.

Well, I don't really find it consistent at all to use an rpm package built
against something that wasn't installed through rpm :-/

What I'd recommend in your case : You should keep at least one original Red
Hat Linux kernel (you do just in case, right? ;-)) and install the matching
alsa-kernel package as you'll need at least one because of the
dependencies. Then for your custom built kernel, simply ""./configure
--with-cards=all && make && make install DESTDIR=/tmp/alsa-driver"" from the
alsa-driver sources then as root copy all the modules under
/tmp/alsa-driver/lib/modules/ to your modules dir and run ""depmod -a"".

Of course you can even make it much faster by not compiling all un-needed
drivers, as I guess that's one of the reasons one would rebuild his own
kernel.

I find this the easiest and cleanest way to get around the problem. It's
what I've done and what I'll keep doing on my laptop where I'm running a
kernel recompiled with ACPI.

Matthias

--
Clean custom Red Hat Linux rpm packages : http://freshrpms.net/
Red Hat Linux release 7.3 (Valhalla) running Linux kernel 2.4.18-10acpi
Load : 0.00 0.02 0.00

_______________________________________________
RPM-List mailing list
http://lists.freshrpms.net/mailman/listinfo/rpm-list",legitimate,train
enron_whalley-l__sent_mail_34.,enron,Breakfast w/Whalley,"Angie,

This is to confirm breakfast for Whalley, McClellan & Reck on Thursday,
November 16 @ 6:30a.m. in the Spring House Cafe (ground floor) Hyatt Regency
Hill Country Resort.

Many Thanks,

Liz",legitimate,train
spamassassin_easy_ham_00450.72b1e6931947f5bfcc7c116431e2a093,spamassassin,Re[2]: Selling Wedded Bliss (was Re: Ouch...),"Hello Adam,

Thursday, September 05, 2002, 11:33:18 PM, you wrote:

ALB> So, you're saying that product bundling works? Good point.

Sometimes I wish I was still in CA. You deserve a good beating every
so often... (anyone else want to do the honors?)

ALB> And how is this any different from ""normal"" marriage exactly? Other then
ALB> that the woman not only gets a man, but one in a country where both she and
ALB> her offspring will have actual opportunities? Oh and the lack of
ALB> ""de-feminized, over-sized, self-centered, mercenary-minded"" choices?

Mmkay. For the nth time Adam, we don't live in the land of
Adam-fantasy. Women actually are allowed to do things productive,
independent and entirely free of their male counterparts. They aren't
forced to cook and clean and merely be sexual vessels. Sometimes,
and this will come as a shock to you, no doubt, men and women even
find -love- (which is the crucial distinction between this system) and
they marry one another for the satisfaction of being together. I
know, far-fetched and idealistically crazy as it is, but such things
do happen. I can guarantee you, if my mother was approached by my
father, and 25 years ago, he commented on her cleaning ability as a
motivator for marrying her, we would not be having this conversation
now.

If guys still have silly antequated ideas about 'women's role' then
their opportunities for finding women _will_ be scarce. Again, these
situations are great, provided everyone is aware that the relationship
is a contractual one -- he wants a maid, a dog and a prostitute he
doesn't have to pay, and she wants a country that isn't impoverished
and teeming with AIDS. A contract, versus a true love-interest
marriage.

Egh. I really need to stop analyzing your posts to this extent. I
blame law school and my cat.

-BB

ALB> - Adam L. ""Duncan"" Beberg
ALB> http://www.mithral.com/~beberg/
ALB> beberg@mithral.com

--
Best regards,
bitbitch mailto:bitbitch@magnesium.net",legitimate,train
nigerian_1804,nigerian,"PRAISE ALLAH, THE MOST BENEVOLENT","FROM : MRS ASHIA HASSAN

PRAISE ALLAH, THE MOST BENEVOLENT

I am the above named person from Kuwait. I am married to Late
herina bana of blessed memory who worked with Kuwait embassy in
Sudan for nine years before he died in the year 2002. We were
married for eleven years without a child.He died after a brief
illness that lasted for only four days. Before his death we were
both very devoted muslims.

Since his death I too have been battling with both cancer and
fibroid problems.When my late husband was alive he deposited
the sum of $20 Million (Twenty Million U.S. Dollars) with an
oversea private security and holding firm .

Presently, this money is still with the private security and
holding firm in Malaysia ,Asia. Recently, my Doctor told me that
I would not last for the next three months due to cancer problem.
Though what disturbs me most is my stroke sickness. Having known my

condition I decided to donate this fund to either a moslem organisation or
devoted muslim individual that will utilize this money the way I am going to
instruct here- in. I want this muslim organisation or individual to use this
money in all sincererity to fund mosques, orphanages,widows and also propagating
the word of ALLAH and to ensure that the society upholds the views and beliefs of

the holy Quran.

The holy Quran emphasized so much on ALLAH'S benevolence and this has encouraged
me to take this bold step. I took this decision because I don��t have any child

that will inherit this money and my husband relatives are new Christians
converts and I don��t want my husband��s hard earned money to be misused
by people I call unbelievers.

I don��t want a situation where this money will be used in an unholy manner.
Hence the reason for taking this bold decision. I know that after death
I will be with ALLAH the most beneficient and the most merciful. I don��t
need any telephone communication in this regard because of my health and
the presence of my
husband��s relatives around me always. I don��t want them to know about
this development.

With ALLAH all things are possible. As soon as I receive your reply
I shall give you the contact of the Security Company. I will also
issue you a letter of authority that will prove you as the original-

beneficiary of this fund. I want you and the Muslim community where
you reside to always pray for me. My happiness is that I lived a life
of a true devoted muslim worthy of emulation. Whoever that wants to
serve the ALLAH must serve him in truth and in fairness.

Please always be prayerful all through your life. Any delay in your
reply will give me room in sourcing For a muslim organisation or a
devoted muslim for this same purpose. Until I hear from you, my dreams
will rest squarely on your shoulders. May the almighty ALLAH continue
to guide and protect you.
Reply me through this email address,aisha_hassan2000@yahoo.com
Regards,
MRS AISHA HASSAN",phishing,train
enron_taylor-m_sent_items_203.,enron,Another Article,"Broadband Networking News Mark Holmes 03/27/2001 Enron Hits Back Quickly After Blockbuster Failure Houston-based energy and communications conglomerate Enron's Enron Broadband Services unit signed a deal with Electronics Boutique earlier this month to deliver video games on demand in a bid to boost content offerings to its broadband customers as part of its entertain-on-demand (EOD) service. Under the terms of the March 19 deal, Electronics Boutique subsidiary EBWorld.com will stream leading games for rental to Enron 's broadband customers. The deal is a positive development for Enron after the collapse of a deal with Blockbuster, which the companies announced March 9, that would have given Enron exclusive rights to deliver movies for a video-on-demand service. ""The exclusive relationship has not yielded the quantity and quality of movies needed to drive demand for this exciting new on-demand service,"" explains Kenneth D. Rice, president and CEO of Enron Broadband Services. ""The Blockbuster announcement was disappointing, but I do think the technology and systems to be able to do that are virtually complete,"" notes James Yannello, a utilities equity analyst at UBS Warburg. ""I do think they will be able to potentially a deliver a variety of items to end-users. I would guess they need to do some more deals, driving traffic on [to] their systems. I think they can bounce back pretty quickly from the Blockbuster deal. I think the blow was more psychological and I would suggest it was used as an excuse for some others to lower some very aggressive price targets on the company, which is what they did."" The failure of the Blockbuster deal was a blow for the company as the exclusive 20-year agreement could have given Enron significant upside in the content delivery business. ""I don't see Blockbuster as being a broadband killer for Enron ,"" Bob Christensen, a utilities equity analyst at First Albany Corp., tells Broadband Networking News. ""I think they will probably [get] one or two anchor tenants before the year is out. I am optimistic."" The deal with Electronics Boutique and the failure of the deal with Blockbuster emphasize the importance Enron is placing on securing content for its broadband network. Yet its main revenues from the telecom arena will continue to be derived from its bandwidth intermediation business, which uses pooling points to provide the physical interconnectivity between bandwidth buyers and sellers, allowing users to provide bandwidth on demand. This is Enron 's core telecom business. The content deals, while important, are not being factored into most analysts' forecasts on the company. ""I am confident that the content delivery business will be successful,"" says Ray Niles, a utilities equity analyst at Salomon Smith Barney. ""The fact of the matter is they did get another deal. It was not as large as the Blockbuster deal, but they did get another one in there. We are not putting numbers in our model and our earnings forecast for content delivery. Whether it is very successful or not very successful, in our forecasts, we are not assuming any particular forecast for the content delivery business. I think bandwidth intermediation is their competitive advantage."" ""The reality is that no one had any earnings (from Blockbuster) in the company projections for several years at best,"" Yannello adds. ""It was a big name and was portrayed to be the killer app. It is disappointing, but I do think they will be able to bounce back with other deals. I also think in an early sense this gaming announcement is probably the tip of the iceberg of what they will be able to bring in."" Enron, which produced revenues of over $101 billion in 2000 from its various businesses, is still rated highly by analysts, despite the failure of the Blockbuster deal. ""We have a $100 target price and a 'strong buy' rating,"" Yannello says. ""That assumes roughly $75 of value for their energy business and $25 of value for their broadband services division. I think given what has happened in the broader market in the telecom arena, and given that the Blockbuster deal has falling apart, I think we be will waiting a while before we expand that $25 telecom valuation.""",legitimate,train
spamassassin_easy_ham_2_00068.36bcd58f7826a1819b2188d4b35b9150,spamassassin,Re: [ILUG] How to copy some files,"On Fri, Jul 19, 2002 at 05:06:59PM +0100, Matthew French wrote:

> On that note: is there any real benefit to using hard links? I avoid them as
> a rule, and cannot think of any good reason to use them at the moment.

There are lots of benefits to using hard links, for all sorts of reasons. In
this case, they are being used to provide two quite different namespaces
for the same set of files.

Niall

--
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie",legitimate,train
spamassassin_easy_ham_2_00234.4901bd911992ec875045886a7e311562,spamassassin,[ILUG] RE: removing lilo,"on NT 4 you should get it at the point where you choose
which partition to format/install onto .... It's been a
while though so I might be wrong. Ted says I might have
dreamed it just like that spider baby/Linux thing :-)

--Dougal

-----Original Message-----
From: SoloCDM [mailto:deedsmis@aculink.net]
Sent: 02 August 2002 10:33
To: Hunt, Bryan
Cc: ILUG (Request)
Subject: Re: removing lilo

""Hunt, Bryan"" stated the following:
>
> choose the repair option when installing windows nt/2000/whatever

What is the ""repair option""?

> -----Original Message----- From: SoloCDM [mailto:deedsmis@aculink.net]
> Sent: 31 July 2002 17:48 To: Hunt, Bryan Cc: ILUG (Request)
> Subject: Re: removing lilo
>
> ""Hunt, Bryan"" stated the following:
>
> > you need to do a ""fdisk /mbr"" from a bootable windoze floppy
> > alternatively boot from linux boot disk and do fdisk, delete all
>
> partitions.
>
> I need to ask a question concerning this issue.
>
> What if I don't want to get rid of the MBR -- it will destroy the
> OS on that drive. How do I remove lilo without the above fdisk
> procedure?
>
> > -----Original Message----- From: jac1
> > [mailto:jac1@student.cs.ucc.ie]
>
> > i recently had to wipe linux from my pc but forgot to restore the
> > original MBR (NT). Anyone know how i can do this? linux is entirely
> > gone and no
>
> boot
>
> > floppy. formatting the entire disk doesn't do it either.

--
Note: When you reply to this message, please include the mailing
list and/or newsgroup address and my email address in To:

*********************************************************************
Signed,
SoloCDM

--
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie",legitimate,train
enron_symes-k__sent_mail_1044.,enron,481890/481892,"Les Rawson has spoken with Doug Reiner at Willamette regarding this deal.
They are in agreement now about the prices. Les said he usually has to
explain the methodology a few times when he does deals with these guys, so
it's nothing new. But in the future, Les said he'd prefer to contact the
counterparty first to avoid confusion. His extension is 3924. You're also
more than welcome to call me first and I'll track Les down. (I think I'm
probably easier to get ahold of!)

At any rate, I hope this clears it up. And if Willamette has any other
questions, let me know.

Thanks,
Kate",legitimate,train
nigerian_748,nigerian,NEED URGENT ASSISTANCE FOR FOREIGN INVESTMENT,"From: JOHN KABILA
Baminda Cameroon
central Africa
PHONE 002377898587
FAX 002373361683

Greetings,

In appreciation of your esteemed contact received through a reliable
source and the choice of your country I wish to introduce myself, I am
John Kabila the son of the late Democratic Republic of Congo President
Laurent Desire Kabila of the blessed memory.

;I know this letter might come to you as a surprise but I honestly have to
solicit your attention to this assistance and foreingn investment. I write
this letter in respect of my intention to invest the sum of US $ 20 000,000.00
with you. I inherited this funds from my mother. This funds was generated
through the sale of Diamond and Timber when my father was the
head of state. My mother though not her legal wife used her privilege
position to engage in the business of Diamond and timber since she knows
that her survival will depend on how much she can get out of the
privilege situation.
When my father was assassinated on 16th January 01 by one of his
bodyguards Lt. Rashidi Kasereke through the conspiracy of some Top Army
officers that wanted to topple his government, I escaped to Cameroon
because of the fear that I might be arrested by my half brother Lt. General Joseph
Kabila the present head of state. Actually his mother and my mother are
not in the best of relationship because of tussle for who among them
will be the first lady and this ultimately affected us their children.

Considering the relationship between South Africa and the Democratic
Republic of Congo new government, my mother advised me to leave for
Cameroon for security reason, while the funds were deposited with a
security Company.

On getting to cameroon where I have been living since then
I am seeking for a reliable foreigner who can assist me
in moving this funds out for safe banking and profitable foreighn
investment.
Honestly I contacted you because I don't want to invest this funds in
Cameroon nor Africa due to my status in my country as a result of my
fathers death.
.And moreover I wouldn't want to take risk because this funds is all that I and my
mother is depending on because my half brother has seized all my father's
assets and funds and left I and my mother empty handed without knowing
that this funds was deposited at the security company. so this is why I
decided that investing this funds abroad should be the best safest typy
of adventure for me. I will be honoured if I can be given the privilege of
investing this fund through your help.

In view of this plight, I expect you to be trustworthy and kind enough
to respond to this distress call to save my mother and I from a
hopeless future. And if you agree, I hereby agree to compensate your
sincere and candid effort in this regard with 20% of the total fund and annual
5% of the after tax returns on investment for the first three years.
Thereafter, the terms shall be varied. 5% for expenses, which may arise
during this transaction, fax and phone bills inclusive,When the fund
($20,000,000.00) is moved into your discrete account, you will be
allowed to draw 20% your favor, while the remaining 75% will be invested
meaningfully for our future if possible in your area of business and
deterrents sectors of the Economy in your country which are dividends
yeilding.
Should you for any reason not interested,please kindly reach me so as to
make other contacts and please try to keep this letter tight secret for the
interest of my family.

Best regards.

JOHN KABILA",phishing,train
enron_dasovich-j_sent_3384.,enron,Re: California ISO Credit,"We should cast a little broader net on this internally--Yoder, Calger,
Belden, Foster, Sanders, etc.--but seems that, given the Governor's actions
as of late, the likelihood of nonpayment might even be a bit higher than 25%.

Best,
Jeff

Harry Kingerski
02/25/2001 08:54 PM

To: James D Steffes/NA/Enron@Enron, Jeff Dasovich/NA/Enron@Enron
cc:
Subject: California ISO Credit

ok swammies -

I told Neil I'd gather some input - my assessment is 25% probability that
payment is not received within one year; probability is nil that it won't be
received at all. Your thoughts?
----- Forwarded by Harry Kingerski/NA/Enron on 02/25/2001 08:52 PM -----

Neil Bresnan@EES
02/23/2001 05:45 PM

To: Harry Kingerski/NA/Enron@Enron, Michael Tribolet/ENRON@enronXgate
cc: Don Black/HOU/EES@EES, Dennis Benevides/HOU/EES@EES, Jubran
Whalan/HOU/EES@EES
Subject: California ISO Credit

Michael,

With the dissolution of the PX we are exploring various markets in an attempt
to shape our load and minimise our credit exposure to counterparts such as
the ISO. We are continuing to work with EPMI to manage the risk associated
with selling any volume into the Cal ISO. Currently we are purchasing power
on a daily basis from the market to meet the highest common on and off peak
hour. This strategy leaves us long for all the other hours but reduces our
exposure to ISO penalties for under scheduling . Our most promising options
are to sell the excess shoulder power into the PX imbalance market or OTC
hour ahead. We are concerned about any receivable from the ISO and would like
to know what you think the probability is of non-payment. If we do receive
payment over what time period can we expect to receive it.

NFB",legitimate,train
spamassassin_easy_ham_00243.356078a6eb0847e4670477133553b3af,spamassassin,"Re: [zzzzteana] FWD (TLCB) Jimmy Carter: The Troubling, New Face of America","Of course, everyone knows that Owlman is a work of fuggin` genius

J

> Hey, I met the wizard bloke from Owlman, who wants to touch me!!
>
> Dave

------------------------ Yahoo! Groups Sponsor ---------------------~-->
4 DVDs Free +s&p Join Now
http://us.click.yahoo.com/pt6YBB/NXiEAA/MVfIAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/",legitimate,train
